;hirkod;hirkod_post
324;14978817;15556909.0
325;15149194;15552907.0
326;15153138;15485986.0
327;15059540;15395528.0
328;14654079;15536271.0
329;15203712;15267487.0
330;15147258;15540532.0
331;15151337;15535140.0
332;15312304;15568374.0
333;14846432;15558148.0
334;15391931;14577405.0
335;15358100;15380318.0
336;14610011;15224966.0
337;13543367;13844224.0
338;15334052;15425327.0
339;15311843;14443881.0
340;15365906;14411924.0
341;14999736;15478978.0
342;15368657;15516776.0
343;15346232;15494626.0
344;15341054;15126655.0
345;15152325;15219681.0
346;15033493;15092454.0
347;14819684;15314247.0
348;14196435;15543562.0
349;13402653;15458986.0
350;13428976;15351686.0
351;15231584;15364973.0
352;15149365;15518857.0
353;15339667;14658674.0
354;15289066;15057974.0
355;15147038;15657600.0
356;15055741;15657309.0
357;15035615;15664035.0
358;14635500;15607302.0
359;14248097;13844153.0
360;13989270;13844149.0
361;15097062;14667383.0
362;14812423;15267431.0
363;14413516;15655994.0
364;13671969;15647715.0
365;14965360;15503122.0
366;15076989;15675538.0
367;15361954;15659183.0
368;15038055;15645708.0
369;15171563;15566730.0
370;15169197;15654521.0
371;15361867;15608467.0
372;14647037;15651374.0
373;15284694;15582121.0
374;14109481;15634130.0
375;14017249;12206964.0
376;15054475;15150971.0
377;15321319;14760090.0
378;15224990;15267448.0
379;13821432;15267609.0
380;15147933;15538858.0
381;14360152;15341759.0
382;15171297;15341371.0
383;14506109;15267541.0
384;15031036;15267526.0
385;15022141;15661870.0
386;15370732;14428868.0
387;14933536;15433960.0
388;14768721;14408525.0
389;14764639;15628907.0
390;14676665;15543345.0
391;15279857;15447335.0
392;15167795;15448565.0
393;15289347;15267680.0
394;14497394;15425954.0
395;15238214;15422287.0
396;15391093;15086057.0
397;15180446;15666994.0
398;15385441;15420540.0
399;14860112;15305421.0
400;15265251;15668899.0
401;15073209;15088000.0
402;14273294;15335335.0
403;14546618;14899251.0
404;14364105;10794965.0
405;14968392;15249617.0
406;15339965;15533882.0
407;15356610;15534148.0
408;15359731;12724956.0
409;15387710;14928287.0
410;15375931;15518942.0
411;15350164;15448882.0
412;15400769;15322392.0
413;15066854;15672458.0
414;15397066;15571776.0
415;15395022;15564102.0
416;15376234;15625256.0
417;15396761;12656119.0
418;15388185;15629882.0
419;15376757;15577903.0
420;15313827;15602567.0
421;15404535;15537245.0
422;15403851;15622646.0
423;15398949;15297587.0
424;15382942;15530158.0
425;15401603;15469673.0
426;15401602;15538576.0
427;15380456;15563059.0
428;15352247;12047759.0
429;15058000;15660008.0
430;15385054;15673321.0
431;14994766;15616026.0
432;15385727;15670659.0
433;15125187;13890497.0
434;15340907;14953374.0
435;15402083;15344500.0
436;15382754;15353995.0
437;15241591;15284271.0
438;14988894;15353784.0
439;15393715;15353711.0
440;15340163;14244268.0
441;15395565;14492310.0
442;15377888;15308692.0
443;15314940;15312356.0
444;15396346;15372860.0
445;15395732;15305782.0
446;15356926;15164650.0
447;15383516;14818058.0
448;15373462;15552106.0
449;15331896;12769381.0
450;15325071;15450133.0
451;15256918;15146313.0
452;15255588;15441769.0
453;15242535;15563989.0
454;14979999;15673688.0
455;14820676;15214875.0
456;15402583;15534393.0
457;15262387;15600466.0
458;15230591;15683963.0
459;15172787;15673154.0
460;15062479;15683333.0
461;15031999;15632108.0
462;15401614;14946098.0
463;15394941;14504329.0
464;15403731;15394718.0
465;15376464;15399438.0
466;15376300;15225413.0
467;15372118;15409585.0
468;15348912;14947816.0
469;15347391;15366000.0
470;15340635;12513826.0
471;15339767;15403412.0
472;15305240;15419449.0
473;15102624;15411546.0
474;14880778;15179229.0
475;15350421;15459926.0
476;15354235;15315047.0
477;15362613;15539686.0
478;15404407;15534164.0
479;15382065;15509896.0
480;15357115;15561851.0
481;15306038;15542767.0
482;15393989;15553217.0
483;15373557;15366646.0
484;15382853;15449593.0
485;15381517;15686594.0
486;15296501;15448256.0
487;15122169;15037121.0
488;15040686;15650699.0
489;15380146;14889906.0
490;15396550;14779154.0
491;15334918;15670376.0
492;15402079;15629429.0
493;15385863;15291935.0
494;15385209;15178335.0
495;15398466;14473838.0
496;15389801;13597720.0
497;15307554;15448971.0
498;15267375;15211083.0
499;15226174;15423446.0
500;15193067;15478216.0
501;15389583;15496477.0
502;15404876;15562042.0
503;15390557;15566844.0
504;15376059;15640538.0
505;15285032;15210165.0
506;15392944;15524071.0
507;15383515;15210225.0
508;15373838;15167658.0
509;15363495;15428782.0
510;15359102;15422915.0
511;15351758;15204255.0
512;15348857;15568817.0
513;15340630;14438196.0
514;15327507;15398736.0
515;15327502;14774730.0
516;15305243;15329285.0
517;15294821;13022097.0
518;15277255;15681489.0
519;15210041;15675660.0
520;15141785;15550997.0
521;15078247;13210405.0
522;15057963;15383798.0
